pl_name,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,sy_dist
1RXS J160929.1-210524 b,330.0,18.647,2543.0,1.35,0.85,139.135
55 Cnc e,0.01544,1.875,7.99,0.94,0.91,12.5855
55 Cnc e,0.01544,1.91,8.08,0.96,0.9,12.5855
55 Cnc e,0.01544,2.08,7.81,0.94,0.91,12.5855
55 Cnc e,0.01583,2.173,8.37,0.96,0.9,12.5855
55 Cnc e,0.01544,1.92,8.08,0.96,0.9,12.5855
55 Cnc e,0.01583,2.0,8.63,0.94,0.96,12.5855
AU Mic b,0.066,4.203,57.2094,0.75,0.5,9.7221
AU Mic b,0.0645,4.07,17.0,0.75,0.5,9.7221
AU Mic c,0.1101,3.24,13.6,0.75,0.5,9.7221
BD+20 594 b,0.241,2.23,16.3,0.93,0.96,179.461
BD+60 1417 b,1662.0,14.684,4767.4261,0.8,1.0,44.9543
BD-14 3065 b,0.0656,21.59,3932.0,2.35,1.41,589.423
COCONUTS-2 b,7506.0,12.442,2002.31896,0.39,0.37,10.8864
CoRoT-1 b,0.0261,16.589,359.1479,1.14,1.03,787.909
CoRoT-1 b,0.02752,19.223,390.9309,1.23,1.22,787.909
CoRoT-1 b,0.02536,17.385,327.3649,1.13,0.95,787.909
CoRoT-10 b,0.1055,10.873,867.6759,0.79,0.89,338.386
CoRoT-10 b,0.106,10.548,883.5674,0.74,0.9,338.386
CoRoT-10 b,0.1055,10.87,874.0,0.79,0.89,338.386
CoRoT-11 b,0.04351,15.581,791.3967,1.33,1.23,655.037
CoRoT-11 b,0.04407,16.029,832.7146,1.37,1.27,655.037
CoRoT-11 b,0.044,15.984,743.7222,1.37,1.26,655.037
CoRoT-11 b,0.0436,16.03,740.51,1.37,1.27,655.037
CoRoT-12 b,0.04016,16.14,291.438,1.12,1.08,1126.37
CoRoT-12 b,0.04013,16.141,290.81445,1.12,1.08,1126.37
CoRoT-12 b,0.0392,15.065,277.46559,1.05,1.0,1126.37
CoRoT-12 b,0.0394,15.132,281.91521,1.05,1.02,1126.37
CoRoT-13 b,0.05107,9.92,423.03173,1.01,1.09,1148.93
CoRoT-13 b,0.051,14.034,416.99296,1.27,1.09,1148.93
CoRoT-13 b,0.051,9.92,415.704,1.01,1.09,1148.93
CoRoT-14 b,0.027,12.22,2415.4,1.21,1.13,1744.6
CoRoT-14 b,0.02687,11.411,2437.7561,1.19,1.12,1744.6
CoRoT-14 b,0.02691,12.218,2358.2986,1.21,1.13,1744.6
CoRoT-16 b,0.0618,13.115,168.13207,1.19,1.1,732.409
CoRoT-16 b,0.0618,13.11,170.032,1.19,1.1,732.409
CoRoT-17 b,0.0481,11.287,781.8618,1.62,1.04,1176.12
CoRoT-17 b,0.0461,11.43,772.29,1.59,1.04,1176.12
CoRoT-17 b,0.0481,11.433,765.9703,1.59,1.04,1176.12
CoRoT-18 b,0.0295,14.684,1099.6918,1.0,0.95,764.889
CoRoT-18 b,0.0286,14.022,1039.3041,0.92,0.86,764.889
CoRoT-18 b,0.0295,14.68,1102.82,1.0,0.95,764.889
CoRoT-18 b,0.0288,12.846,1048.839,0.88,0.88,764.889
CoRoT-19 b,0.0512,13.339,346.4347,1.58,1.18,790.663
CoRoT-19 b,0.0518,14.46,352.78,1.65,1.21,790.663
CoRoT-19 b,0.05166,14.46,367.09365,1.65,1.21,790.663
CoRoT-2 b,0.0281,16.432,1048.839,0.9,0.97,213.283
CoRoT-2 b,0.02835,16.365,1134.6531,0.9,1.0,213.283
CoRoT-2 b,0.02798,16.432,1102.82,0.91,0.96,213.283
CoRoT-2 b,0.02854,16.477,1150.5446,0.91,1.02,213.283
CoRoT-20 b,0.0891,11.209,1315.8162,1.16,1.1,844.061
CoRoT-20 b,0.0902,9.42,1347.54,1.02,1.14,844.061
CoRoT-20 b,0.0892,13.002,1608.2198,1.34,1.11,844.061
CoRoT-20 b,0.0901,9.416,1344.4209,1.02,1.14,844.061
CoRoT-22 b,0.092,4.88,12.2,1.14,1.1,627.158
CoRoT-23 b,0.04809,13.227,972.5598,1.74,1.12,1060.97
CoRoT-23 b,0.048,11.77,889.9,1.61,1.14,1060.97
CoRoT-23 b,0.0484,11.769,982.0947,1.61,1.14,1060.97
CoRoT-24 b,0.056,3.7,5.7,0.86,0.91,591.555
CoRoT-24 c,0.098,5.0,28.0,0.86,0.91,591.555
CoRoT-25 b,0.0578,12.11,85.81,1.19,1.09,1103.48
CoRoT-25 b,0.05789,12.106,93.12419,1.19,1.09,1103.48
CoRoT-26 b,0.0526,14.12,165.26,1.79,1.09,1045.18
CoRoT-26 b,0.0525,14.123,184.3414,1.79,1.09,1045.18
CoRoT-27 b,0.0476,11.287,3302.11,1.08,1.05,1010.28
CoRoT-27 b,0.0467,11.287,3273.649,1.08,1.05,1010.28
CoRoT-28 b,0.059,10.705,152.87623,1.78,1.01,766.183
CoRoT-28 b,0.0603,10.705,153.82972,1.78,1.01,766.183
CoRoT-29 b,0.0386,10.088,270.1555,0.9,0.97,806.507
CoRoT-29 b,0.039,10.088,266.9772,0.9,0.97,806.507
CoRoT-3 b,0.05694,11.135,6747.5309,1.54,1.36,768.771
CoRoT-3 b,0.05783,11.624,6979.5468,1.57,1.4,768.771
CoRoT-3 b,0.0574,11.321,6814.2752,1.56,1.37,768.771
CoRoT-30 b,0.0844,11.31,921.707,0.91,0.98,1032.23
CoRoT-31 b,0.0586,16.365,266.9772,2.15,1.25,2005.76
CoRoT-35 b,0.0429,18.831,349.61125,1.65,1.01,1123.21
CoRoT-36 b,0.066,15.805,216.12332,1.52,1.32,925.958
CoRoT-4 b,0.09,13.34,228.83,1.17,1.16,726.412
CoRoT-4 b,0.09025,13.339,223.43449,1.17,1.16,726.412
CoRoT-4 b,0.0912,13.002,232.33373,1.15,1.19,726.412
CoRoT-5 b,0.0495,14.079,145.88397,1.11,0.99,882.472
CoRoT-5 b,0.04963,15.558,151.92274,1.19,1.0,882.472
CoRoT-5 b,0.05004,13.249,149.3801,1.05,1.02,882.472
CoRoT-5 b,0.04947,15.558,148.42,1.19,1.0,882.472
CoRoT-6 b,0.0854,13.07,937.5985,1.02,1.05,645.294
CoRoT-6 b,0.0855,13.068,940.74,1.02,1.05,645.294
CoRoT-6 b,0.0855,13.283,940.7768,1.04,1.05,645.294
CoRoT-7 b,0.0169,1.861,6.99226,0.96,0.88,159.906
CoRoT-7 b,0.017016,1.585,5.74,0.82,0.91,159.906
